,mean_salary,count
Cloud offerings,201000.0,1
Data Privacy Protection,200500.0,1
Cognitive Architecture,200500.0,1
RAPIDS,200500.0,2
ReAct,200500.0,1
Multimodal Reasoning,200500.0,1
Steerability,200500.0,1
Enterprise Knowledge Graphs,200500.0,1
VCP (VMWare Certified Professional),200000.0,1
Cloud APM,200000.0,1
P2P networks,200000.0,1
Erasure codes,200000.0,1
IaC SAST tools,200000.0,1
Polynomial commitments,200000.0,1
Signature schemes,200000.0,1
Development Languages,200000.0,1
Node Operations,200000.0,1
Github Action,200000.0,1
Public cloud services,200000.0,1
Multithreaded computing,200000.0,1
Azure PaaS products,200000.0,1
Liquid Staking,200000.0,1
Azure Operational and Monitoring tools,200000.0,1
Parallel computing,200000.0,1
Windows scripting,200000.0,1
Linux scripting,200000.0,1
Blockchain networks,200000.0,1
Data infrastructure,200000.0,1
Hash functions,200000.0,1
OOPL (e.g. C#),200000.0,1
Mentorship,200000.0,1
Gruntworks Terraform,200000.0,1
Realtime bidding,199641.0,1
Legacy Customer Solutions,198000.0,1
Chronosphere,198000.0,1
Cloud Expertise,198000.0,1
Kustomize,198000.0,1
Flux CD,198000.0,1
AWS Solution Architecture,198000.0,1
Cloudbased Solutions,198000.0,1
Apache Spark MLlib,197950.0,1
ArgodCD,197300.0,1
huggingface,197000.0,1
Search Relevancy,197000.0,1
MultiModal Analysis,197000.0,1
HTTP REST API,196562.5,1
OpenAPI specifications,196562.5,1
Onchain,196312.5,1
Blockchain Technologies,196312.5,1
Testing frameworks,196312.5,1
Onchain/Web3,196312.5,1
Open Source SDKs,196312.5,1
Smart Contract Development,196312.5,1
Causal inference,195956.625,4
Search,195525.0,4
Dexterous manipulation,195000.0,1
Grasping,195000.0,1
Bimanual manipulation,195000.0,1
Imitation learning,195000.0,1
Simulation stacks,195000.0,1
MacOS X,193925.0,1
UNIX/Linux,193925.0,1
PNSE,193925.0,1
Incident Response Tools,193925.0,1
SEC,193925.0,1
Log Aggregation,193925.0,1
Security Vulnerability Management,193925.0,1
Network Forensics,193925.0,1
Build Processes,193616.66666666666,3
Crypto wallets,193500.0,1
Diffusion Model,193050.0,1
Weekend Verification,190800.0,1
Mainframe Computing,190800.0,1
Customer Success,190000.0,1
Expertise in digital technologies,190000.0,1
Partner Integrations,190000.0,2
Digital Technologies,190000.0,1
Engineering knowledge,190000.0,1
Site Reliability Engineer,190000.0,1
Enterprise Presales,190000.0,2
Product knowledge,190000.0,1
Pagerduty,190000.0,1
UI automation/testing,188700.0,1
VMWare vsphere,188700.0,1
Unix/Linux OS,188700.0,1
Bluetooth Low Energy,188600.0,1
Assembly,188600.0,1
cloud technologies,188500.0,1
golang,188500.0,1
Core MoneyMovement Infrastructure,188100.0,1
Banking Systems,188100.0,1
Order Management Systems (OMS),187500.0,1
ICE,187500.0,1
Pricing Reference,187500.0,1
Portfolio Management Systems (PMS),187500.0,1
Portfolio management,187500.0,1
Order management,187500.0,1
Static Data,187500.0,1
Data Delivery Systems and Protocols,187500.0,1
Backstage.io,187500.0,1
Global Securities and Derivatives Markets,187500.0,1
Realtime Price Feeds,187500.0,1
ProcuretoPay,187500.0,1
Market Data Business Analysis,187500.0,1
Computer Networking,187500.0,1
Listed and OTC Asset Classes,187500.0,1
Corporate Actions,187500.0,1
Microsfot Azure,187500.0,1
Market data,187500.0,1
Security Master,187500.0,1
OrdertoCash,187500.0,1
Data delivery,187500.0,1
CRM/ERP,187500.0,2
Symbology and Data Products,187500.0,1
Tailscale,187500.0,1
Development Specifications,187500.0,1
Data services,187500.0,1
HiretoRetire,187500.0,1
GSheet (AppScript),187000.0,1
CLevel Decision Making,187000.0,1
Credit Analytics,187000.0,1
Social Selling,185900.0,1
Cold Emailing,185900.0,1
Account Executive,185900.0,1
Model Scalability,185520.0,1
Model Operationalization,185520.0,1
Model Tuning,185520.0,1
Model Performance,185520.0,1
CoreAnimation,185200.0,3
UIKit,185200.0,3
Snapshot tests,185200.0,3
Integration tests,185200.0,3
Cohesity,185000.0,1
Public cloud infrastructure,185000.0,1
vCloud Director,185000.0,1
Integer programming,185000.0,1
Nvidia UFM,185000.0,1
Simulation models,185000.0,1
Istio/Envoy,185000.0,1
Dynamic programming,185000.0,1
Kubernetes clusters,185000.0,1
Documentation Writing,185000.0,1
Database ER Diagram,185000.0,1
Mixed Integer programming,185000.0,1
vSAN,185000.0,1
OnPremise Infrastructure,185000.0,1
Public Clouds (AWS Azure GCP),184700.0,1
Endpoints,184275.0,2
pulumi,184000.0,1
Microsoft .NET,183160.0,1
Oracle Goldengate,182800.0,1
Identity Service Engine  ISE,182800.0,1
ASP.NET Web API,182760.0,4
ContentSquare,182500.0,1
Regulatory Data Science,182500.0,1
FullStory,182500.0,1
Google Analytics 4,182500.0,1
Conditional Probability,182500.0,1
Pandos,182500.0,1
GrowthBook,182500.0,1
Optimizely,182500.0,1
Auth0,182500.0,1
Funnel Analysis,182500.0,2
Caching,182394.0,2
Azure Service Architecture,182360.0,1
Natural language processing,182007.0,7
Finetuning,182000.0,1
Retrieval Augmented Generation,182000.0,1
Spark MLLib,180812.5,4
ASIC,180790.0,1
Cocos2dx,180000.0,1
EDRs,180000.0,1
Largescale distributed systems,180000.0,1
Elastic Container Service,180000.0,1
Applied cryptography,180000.0,1
Unity3d,180000.0,1
Flight dynamics,180000.0,1
Code Generation,180000.0,1
Agora io APIs,180000.0,1
Realtime systems,180000.0,1
Proxy configurations,180000.0,1
Hybrid cloud architectures,180000.0,1
Compilers,180000.0,1
Electronic Health Records (EHR),180000.0,1
Container technology,180000.0,1
Firewall configurations,180000.0,1
iPaaS,180000.0,3
CSPMs,180000.0,1
Agora.io SDK,180000.0,1
C2 satellite operations systems,180000.0,1
Messaging system,180000.0,1
Unity3D,180000.0,1
Electronic Medical Record (EMR) Software,180000.0,1
Cocos2DX,180000.0,1
Network communication,180000.0,1
Cloud environment,180000.0,1
TT&C,180000.0,1
Clinical IT,180000.0,1
AIpowered Developer Tools,180000.0,1
Protocol buffers,178625.0,4
Microsoft Project Server Administration,178400.0,1
Microsoft SQL Server Administration,178400.0,1
Microsoft SharePoint Designer,178400.0,1
Build/Testing,177875.0,1
Deploy,177875.0,1
IDEs,177250.0,2
Large Language Model,175100.0,1
Bandit Algorithms,175100.0,1
Recommendation System,175100.0,1
US GAAP,175000.0,1
iPaaS Integration tools,175000.0,1
SAML integrations,175000.0,1
SEC Reporting,175000.0,1
Cloud Management Network Products,175000.0,1
TPOT,175000.0,1
feature flag frameworks,175000.0,1
Compose,174450.0,2
Mode,173293.75,8
AWS APIGW,173180.0,1
statsmodels,172500.0,1
Sonar Cloud,172500.0,1
Docker containers,172500.0,1
Conversational UI,172500.0,1
RC2,172309.0,1
SiteMinder,172309.0,2
ForgeRock,172309.0,5
R3,172309.0,1
SCIM,172309.0,5
Site Minder,172309.0,3
Plain ID,172309.0,5
Open ID Connect (OIDC),172309.0,4
Hierarchical Forecasting,172000.0,1
CrossValidation,172000.0,1
Cognex CVS,172000.0,1
Backtesting,172000.0,1
Software Development Best Practices,172000.0,1
CloudBased Platforms,172000.0,1
Preprocessing,172000.0,1
tidyverse,171730.0,1
Azurespecific data protection tools and services,171600.0,1
Data lakes,171600.0,1
Azure CloudTrail,171600.0,1
Microsoft Identity Access Management,171600.0,1
Data Protection solutions,171600.0,1
Microsoft Information Protection,171600.0,1
Configuration Management tooling,171350.0,1
API specifications,171350.0,1
Cloud Native Technologies,171350.0,1
observability tools,171350.0,1
Transportation Management,170784.0,2
Recommendations,170550.0,2
Machinelearning,170110.9,1
COPPA,170000.0,1
Rebate management/optimisation,170000.0,1
Mail servers,170000.0,1
ssh,170000.0,1
Defender for Office 365,170000.0,1
MDM tools,170000.0,2
Java Enterprise,170000.0,1
Test driven development,170000.0,1
Google Firestore,170000.0,1
Continuous Delivery Patterns,170000.0,1
Application Migration,170000.0,1
Process design,170000.0,2
Litigation Hold,170000.0,1
Cloud architectures,170000.0,1
Rebate management,170000.0,1
Entra Connect,170000.0,1
Data & integration,170000.0,1
Data technologies,170000.0,1
FP&A tools,170000.0,2
AWS preferred,170000.0,1
Database servers,170000.0,1
Distributed applications,170000.0,1
FERPA,170000.0,1
relational databases,168950.0,1
caching,168950.0,1
Web App Frontend,168000.0,1
Clinical Operations,167918.4,1
Work Instructions,167918.4,1
NewRelic,167500.0,2
Guice,167100.0,8
COTS System Integration,166400.0,1
Relational Database Migration,166400.0,1
Relational Database Mapping,166400.0,1
System Diagramming,166400.0,1
Applied ML,166000.0,1
NodeTS,165789.0,1
HighCharts,165789.0,1
Nomad,165550.0,2
Jaeger,165328.57142857142,7
Retention,165200.0,3
Workforce Management,165000.0,1
Chat platforms,165000.0,1
Time series,165000.0,1
Network flows,165000.0,1
Corda,165000.0,3
GANs,165000.0,1
UI Integrations,165000.0,1
Exploit Development,165000.0,1
FIPS 140,165000.0,1
Realtime computing/programming,165000.0,1
Project Management Professional,165000.0,1
Traces,165000.0,1
NIAP,165000.0,1
DoD Cybersecurity Compliance,165000.0,1
Vulnerability Research,165000.0,1
Algorand,165000.0,3
Wave Relay®,165000.0,1
Contact Center Infrastructure,165000.0,1
Call Center infrastructure,165000.0,1
3D computer vision,165000.0,1
Cardano,165000.0,3
Common Criteria,165000.0,1
ChatBots,165000.0,1
ElectroMagnetic Compatibility,165000.0,1
CNSSI 1253,165000.0,1
Red Teaming,165000.0,1
Certified Cloud Security Professional,165000.0,1
Network programming,165000.0,1
Daml,165000.0,3
MANET,165000.0,1
Embedded Linux,165000.0,1
Frontend web development,164675.0,1
APIs (REST GraphQL),164675.0,1
Claims Processing,164282.66666666666,3
LCPO,163980.0,1
Azure ML SDK,163900.0,1
Cloud AI platforms,163900.0,1
H2O.ai,163900.0,1
ML modeling,163417.75,2
SDKs,163156.25,2
Metrics design,162800.0,1
Incrementality testing,162800.0,2
LTV,162800.0,2
Funnels,162800.0,2
Growth/marketing data,162800.0,1
Data inconsistency diagnosis,162800.0,1
Marketplace Experiments,162800.0,1
Confluent Centralized Schema Registry,162600.0,1
Snaplogic iPaaS,162600.0,1
Ethers,162500.0,1
Cloud Platforms (AWS GCP Azure),162500.0,1
Wagmi,162500.0,1
GraphQL API,162500.0,1
vanillaextract,162500.0,1
Viem,162500.0,2
Incentives,162400.0,2
Causal modeling,162000.0,1
Statistical sampling,162000.0,1
Optimization models,162000.0,1
Time series analysis,162000.0,1
RTOS,161800.0,2
Operations Management,161750.0,1
MPMLink,161200.0,1
Windchill Business Reporting,161200.0,1
Navigate,161200.0,1
PDMLink,161200.0,1
ThingWorx Foundation,161200.0,1
ProjectLink,161200.0,1
Saviynt,161200.0,1
Blockchains,160950.0,1
Sinatra,160800.0,3
Apollo Client,160500.0,1
E2E tests,160500.0,1
TanStack Query,160500.0,1
Typescript Node js,160100.0,1
Core JavaScript,160000.0,2
Fund Marketing,160000.0,1
Lacework,160000.0,1
CodeStar,160000.0,2
Load balancer,160000.0,2
Azure Config,160000.0,1
Router configuration,160000.0,1
SELinux,160000.0,1
Packet drops,160000.0,1
CodeCommit,160000.0,2
* SnapLogic,160000.0,1
Market data feeds,160000.0,1
Nonprofit Law,160000.0,1
AWS Database technologies,160000.0,2
SysDig,160000.0,1
Dynamic routing,160000.0,1
Package managers,160000.0,1
Azure Security Centre,160000.0,1
Data and AI,160000.0,1
AWS Glue/Athena/S3/Redshift,160000.0,2
VPC/Network,160000.0,2
Emerging Markets Investing,160000.0,1
Scientific stack,160000.0,1
Backbone.js,160000.0,1
EOS,160000.0,1
Hardware Hacking,160000.0,1
Mechanistic modeling,160000.0,1
Contract Review,160000.0,1
Term Sheet Negotiation,160000.0,1
* IaC,160000.0,1
Network latency,160000.0,1
Elastic Beanstack,160000.0,2
TLS/SSL,160000.0,1
Venture Capital,160000.0,1
SQL Server databases,160000.0,2
Geostatistics,160000.0,1
OpenACC,160000.0,1
Transactional Law,160000.0,1
Funds Formation,160000.0,1
SpringBatch,160000.0,2
AWS ECS/EKS,160000.0,2
* BitBucket,160000.0,1
RESTful webservices,159775.0,1
Software Programming,159200.0,2
Retrofit,158900.0,1
Molecule,158900.0,1
KotlinPoet,158900.0,1
SQLDelight,158900.0,1
Wire,158900.0,1
Paparazzi,158900.0,1
Moshi,158900.0,1
Picasso,158900.0,1
Coroutines,158900.0,1
Okio,158900.0,1
Protein Design,158500.0,1
Representation Learning,158500.0,1
Language/Sequence Modeling,158500.0,1
Poetry,158050.0,1
Property Graphs,158050.0,1
RDF triplestores,158050.0,1
Fairseq,158050.0,1
Spacy,158050.0,1
Opensearch,158050.0,1
Ontology Management,158050.0,1
Genetics,157750.0,1
KServe,157750.0,1
CCISO,157500.0,1
Business leaders,157200.0,1
IT teams,157200.0,1
Industry trends,157200.0,1
Enterprise architecture strategies,157200.0,1
Advanced Metering Infrastructure (AMI),157200.0,1
Meters,157200.0,1
Customercentric solutions,157200.0,1
HeadEnd Systems,157200.0,1
Project architecture reviews,157200.0,1
External partners,157200.0,1
Vendors,157200.0,1
Technology portfolio management,157200.0,1
Costeffectiveness,157200.0,1
Functionality,157200.0,1
Delivery,157200.0,1
Resources,157200.0,1
AMI vendors,157200.0,1
Project execution,157200.0,1
Customer Transformation,157200.0,1
Technology Roadmaps,157200.0,1
Emerging technologies,157200.0,1
IT Investments,157200.0,1
Best practices,157200.0,1
IT strategy,157200.0,1
Architects,157200.0,1
Business resources,157200.0,1
Project managers,157200.0,1
System Integrators,157200.0,1
Architecture standards,157200.0,1
Project plans,157200.0,1
Deliverables,157200.0,1
Data wrangling,157049.0,1
Statistical expertise,157049.0,1
Statistical communications,157049.0,1
Statistical operations,157049.0,1
PostgresSQL,156917.94999999998,3
N/Hibernate,156666.66666666666,3
EJBs,156666.66666666666,3
X/HTML5,156666.66666666666,3
Digital Forensics Analysis,156650.0,1
XSRF,156385.0,1
SQLi,156385.0,1
Memcached,156385.0,1
Apache Maven,156385.0,1
XMLi,156385.0,1
Apache HTTP Server,156385.0,1
Cloud Infrastructure Technologies,156000.0,1
Data Modeling Tools,156000.0,1
Healthcare information systems,156000.0,1
Dimensional Data Models,156000.0,1
Data Catalogs,156000.0,1
Data Querying,156000.0,1
Database Designing,156000.0,1
Normalized Data Models,156000.0,1
Multidimensional modeling,155500.0,1
commercetools,155250.0,1
Composable Storefront/Spartacus,155250.0,1
CDNs,155250.0,1
Smartedit,155250.0,1
B2C,155250.0,1
ML Ops,155192.66666666666,3
Networking Protocols (OSI Layer 27),155000.0,1
CoreNLP,155000.0,1
Thanos,155000.0,1
Alertmanager,155000.0,1
Hugging Face's Transformers,155000.0,1
Statistical learning,155000.0,1
Scalable computing,155000.0,1
Snorkel,155000.0,1
Internetworking,155000.0,1
Mathematical optimization,155000.0,1
SolarWinds network tools,154550.0,1
EX/QFX Series switches,154550.0,1
MSTP,154550.0,1
Cisco/Meraki Wireless,154550.0,1
Cisco Nexus switches,154550.0,1
MX Series routers,154550.0,1
ISR/ASR routers,154550.0,1
SVL,154550.0,1
Netconf,154550.0,1
STP (Spanning Tree Protocol),154550.0,1
iPerf,154550.0,1
databases,153945.0,2
Source Control Management,153890.0,5
ETL tools,153750.0,4
Experimentation,153010.1,10
SQL Querying,153000.0,1
Data Warehouse Modeling,153000.0,1
AWS Aurora MySQL,153000.0,1
SR,153000.0,1
NACLs,152984.0,1
Scalr,152787.5,1
UEBA,152750.0,1
Analytical methods,152750.0,1
HMM,152500.0,1
Functional Programming,152500.0,1
Natural Language Understanding,152500.0,1
EFK Stack,152500.0,1
Ggplot,152500.0,1
Bayesian Network,152500.0,1
Medical knowledge,152500.0,1
Redis Caches,152500.0,1
Graphical Theory + Inference,152500.0,1
Databases (PostgreSQL MySQL),152500.0,1
Markov Random Field,152500.0,1
Cortex Xpanse,152000.0,3
Metal,152000.0,1
Cortex XSIAM,152000.0,3
Vulkan,152000.0,1
Marketing Mix Modeling,151560.0,1
Advertising Measurement,151560.0,1
Consumer Insights Research,151560.0,1
Java Spring,151500.0,1
KOTLIN,151400.0,1
DevOps (Jenkins Ansible Artifactory Docker Kubernetes),151400.0,1
KUBERNETES,151400.0,1
Linux System Administration,151400.0,1
SPRING BOOT,151400.0,1
NEXT.JS,151400.0,1
KAFKA,151400.0,1
KendoUI (desired),150800.0,1
Git version control (any version control tool),150800.0,1
Java/J2EE (desired),150800.0,1
SQL (desired),150800.0,1
Agile best practices,150800.0,1
Spring Concepts (desired),150800.0,1
SDM Adoption / Horizon onboarding tools (desired),150800.0,1
CFE,150300.0,1
CGSS,150300.0,1
CCAS,150300.0,1
CAMS,150300.0,1
Data management and analysis,150000.0,1
hello world,150000.0,1
Koa.js,150000.0,1
Data annotation platforms,150000.0,1
Company engagement,150000.0,1
Sustainalytics,150000.0,1
Azure Portal,150000.0,1
ESG data providers,150000.0,1
Stewardship reporting,150000.0,1
Google Cloud products,150000.0,1
AB experimentation,150000.0,1
KDB,150000.0,3
ESG analysis and integration,150000.0,1
Serversent events,150000.0,1
Docker Images,150000.0,1
GRI,150000.0,1
ISS,150000.0,1
Udeploy,150000.0,1
Highfrequency trading,150000.0,1
Cloudfront,150000.0,1
ESG frameworks (GRI SASB CDP TCFD MSCI Sustainalytics ISS),150000.0,1
AI APIs,150000.0,1
Microsoft Office Suite Excel Word PowerPoint Teams SharePoint,150000.0,1
Sustainability research,150000.0,1
Windows systems,150000.0,1
Redhat,150000.0,1
MSCI,150000.0,1
Security monitoring,150000.0,1
Terraform Cloud,150000.0,1
thank you for this opportunity,150000.0,1
Longpolling,150000.0,1
Data collection and reporting,150000.0,1
Cloud Platforms (AWS Azure GCP),150000.0,1
Express.JS,150000.0,1
Core Javascript,150000.0,1
SASB,150000.0,1
Proxy voting,150000.0,1
Publicfacing chat products,150000.0,1
Phoenix,150000.0,2
Fastly,150000.0,1
TCFD,150000.0,1
NLP interpretation,150000.0,1
Financial data analysis,150000.0,1
Jetty,149750.0,2
Vitess,149500.0,2
Business Analysis Governance,148720.0,1
Requirements Lifecycle Management,148720.0,1
Access management,148669.66666666666,3
Ansible Automation,148492.5,1
Agile Development Methodology,148492.5,1
Oracle Professional,148000.0,1
AWS CSA,148000.0,1
networking,147920.0,2
B2B,147625.0,2
data integration,147600.0,1
| Software Development |,147550.0,1
|||,147550.0,1
| Communication |,147550.0,1
Cloud Solution,147550.0,1
Skill Software,147550.0,1
| Data Management |,147550.0,1
| Python |,147550.0,1
| Machine Learning |,147550.0,1
| Scalable Systems |,147550.0,1
| Data Science |,147550.0,1
| NLP |,147550.0,1
Digital Transformation,147550.0,1
CI/CD Tool,147500.0,1
Haskell/Scala,147500.0,2
Automated Deployment,147500.0,1
Slang,147500.0,1
Static Analysis,147500.0,1
IBM Sterling OMS,147500.0,1
BPMNs,147500.0,1
HL Besu / Quorum / Public,147500.0,1
IBM Sterling Commerce Distributed Order Management,147500.0,1
Boto3,147424.0,3
Java script,147424.0,1
Crawlers,147424.0,1
Deep Reinforcement Learning,147202.5,2
CouchDB,147000.0,1
GCP Cloud Databases,147000.0,1
SaltStack,146397.7142857143,7
Beam,146169.5,2
Zuora CPQ,146150.0,1
RevPro,146150.0,1
Zuora Revenue,146150.0,1
Zuora Billing,146150.0,1
Prebid.js,146000.0,1
yarn,146000.0,1
webpack,146000.0,1
babel,146000.0,1
Sidekiq,146000.0,1
CSS Modules,146000.0,1
Java Applications,145500.0,1
MS .NET,145250.0,1
PCI Compliance,145000.0,1
APM/monitoring tools,145000.0,1
Dynatrace/Splunk,145000.0,1
LLama2,145000.0,1
Turnover,145000.0,1
RPG,145000.0,1
FINRACAT,145000.0,1
ActiveDirectory,145000.0,1
Machine Learning Operations,145000.0,1
PyData,145000.0,1
Azure Services,145000.0,1
Payment Method Tokenization,145000.0,1
PMIS,145000.0,1
Network Automation,145000.0,1
.Net framework,145000.0,1
Triton Inference Server,145000.0,1
Jax,145000.0,5
NonLinear Models,145000.0,1
Weights and Biases,145000.0,1
AZ304,145000.0,1
AZ303,145000.0,1
RAG systems,145000.0,1
Generalized Linear Models,145000.0,1
DVC,145000.0,1
Mixtral,145000.0,1
MBeans,144950.0,1
SOA integrations,144950.0,1
Vert.x,144950.0,1
Weblogic,144950.0,1
Teradata Database,144950.0,1
Regulatory Exam Management,144820.0,1
AML Frameworks,144820.0,1
Regulatory Change Management,144820.0,1
Compliance Management,144820.0,1
BSA/AML Compliance,144820.0,1
MERLIN,144820.0,1
CKA,144320.0,1
HashiCorp Boundary,144320.0,1
Bugsnag,144024.0,1
IAC,144000.0,1
HashiCorp Terraform,143620.25,2
Project Reactor,143293.0,1
Telematics,143293.0,1
Spring Web Flux,143293.0,1
BPEL,143293.0,1
MicroServices,143293.0,1
Telecommuting,143264.0,1
Acceptance,143264.0,1
SQL (Postgres),143200.0,1
Azure Resource Manager (ARM),143200.0,1
NoSQL (Mongo DB),143200.0,1
Operations Research,142750.0,4
ESB,142636.0,2
Content Delivery Technologies (F5),142604.8,1
Layer 2 Technologies,142604.8,1
HighLevel Staff Management,142604.8,1
Cisco Certified Network Professional,142604.8,1
Data Networking Systems,142604.8,1
Deductive Reasoning,142604.8,1
DecisionMaking,142604.8,1
Task Prioritization,142604.8,1
Cisco Certified Internetworking Expert,142604.8,1
Judgment,142604.8,1
IT Systems Development,142604.8,1
Documenting,142604.8,1
ISO Markets,142604.8,1
SelfStarting,142604.8,1
Certified Information Systems Security Professional,142604.8,1
Routing Protocols (OSPF EIGRP BGP),142604.8,1
Server replication,142560.0,1
Microsoft SharePoint Online,142500.0,1
Cloud security vendors,142500.0,1
Microsoft 365 GCC,142500.0,1
Node.js/TypeScript,142500.0,1
Spring Boot/Spring,142500.0,1
SASTS/SCI,142500.0,1
Log management,142500.0,1
Decentralised Applications,142500.0,1
Security gaps,142500.0,1
Blockchain Protocols,142500.0,1
Elasticstack,142500.0,1
Security certifications (CISSP CISA CISM),142500.0,1
Security SaaS applications,142500.0,1
Deep Learning Algorithms,142500.0,1
Juniper Junos,142500.0,1
Web3 Libraries,142500.0,1
XCUItest,142500.0,1
Cocoapods,142500.0,1
Least privilege,142500.0,1
